,x1,x2,x3,x4,x5,x6,x7,x8,class
362,16.44,66.54,4.31,1.17,1.64,2,1.04,0.89,1
363,5,25,5,1,2,1.3,1,0.81,0
364,3,17,3,0.58,1,1.03,0.4,0.33,0
365,17,60,9,5,5.5,4.72,2.35,1.52,1
366,8.24,54.93,6.87,12.36,13.05,5.45,1.09,0.36,1
367,7.98,31.93,7.45,1.33,1.6,3.73,0.72,0.27,1
368,5.78,43.31,4.69,3.25,3.61,3.19,1.17,0.77,0
371,8.19,32.75,6.55,1.97,1.97,2.54,1.1,0.76,1
372,9.83,49.13,6.55,2.62,3.68,2.48,1.61,0.88,1
373,6,82.74,3,1,1.5,1.5,1.92,0.8,0
374,7.16,33.93,4.9,3.02,4.52,3.28,1.71,0.8,0
375,7.92,54.63,7.92,2.38,3.17,3.28,1.09,0.8,1
376,5.59,33.54,6.34,1.3,1.86,1.6,1.09,0.67,1
377,1.59,12.71,2.86,1.91,2.51,1.05,0.36,0.18,0
378,2.52,36.59,7.32,0.91,1.83,2.39,0.7,0.53,1
380,1.22,10.41,2.45,1.47,3.37,2.53,0.41,0.18,0
381,12.9,60.06,7.21,4.5,4.8,3.35,1.71,1.22,1
382,10.38,41.51,6.75,2.08,2.59,2.77,1.05,0.76,1
383,4,24.51,6,1.1,2.42,1.51,0.74,0.72,1
384,6.13,35.3,4.09,0.86,0.86,0.59,0.54,0.19,1
385,1.58,11.26,3.38,0.79,1.13,1.58,0.31,0.23,0
386,8.19,39.3,5.73,2.95,4.09,2.2,0.98,0.41,1
387,2.45,18.36,5.2,1.71,4.9,1.28,0.38,0.14,1
388,9.41,36.9,7.38,1.85,2.58,2.58,0.85,0.47,1
390,19.55,111.74,11.87,6.98,6.91,5.91,3.2,2.64,1
391,1.86,9.3,3.95,2,2.79,1.09,0.65,0.33,0
392,1.41,24.23,4.04,0.84,1.45,1.41,0.4,0.3,0
393,5.51,6.12,3.67,1.53,4.28,0.76,0.33,0.16,0
394,17,67.5,8.5,5.75,7,4.7,2.22,1.9,1
395,3.17,31.67,12.67,1.27,1.58,1.72,0.87,0.63,0
396,12.98,57.13,9.34,3.64,3.01,2.81,2.29,1.81,1
397,1.71,4.11,3.94,0.41,0.34,0.43,0.32,0.16,0
398,8.19,36.85,4.93,1.19,2.13,2.54,1.03,0.42,1
399,7.5,37.52,6.95,1.5,2.25,2.84,0.94,0.47,1
400,16.5,70,8.75,5,6.5,5.08,2.2,1.91,1
401,25,57.5,9.75,6.5,8,5.07,2.15,2.01,1
402,2.79,16.76,5.59,0.7,2.1,2.33,0.52,0.28,0
403,2.45,12.24,6.12,1.47,3.18,1.59,0.45,0.16,0
404,15.5,60,7.95,6,6,4.97,1.87,1.39,1
405,18.61,67.01,8.93,5.21,5.96,3.81,1.82,1.74,1
406,3.73,17.7,4.94,1.86,2.9,1.51,0.95,0.67,0
407,6.32,25.26,4.21,1.05,1.79,1.69,0.54,0.37,1
408,5.58,27.01,6.95,2.78,2.78,2.44,3.44,1.65,0
409,11.12,39.52,4.68,1.17,1.46,2.05,0.97,0.79,0
410,5.33,23.69,3.85,1.42,1.78,1.81,0.55,0.29,1
411,2.78,15.45,4.63,1.54,2.16,0.78,0.52,0.24,1
412,1.84,7.35,3.37,1.53,2.14,0.92,0.31,0.12,0
413,6,26.4,5.97,1.61,3,2.73,0.81,0.73,0
414,6.14,28.88,4.76,3.61,3.61,2.79,0.89,0.74,0
415,2.29,22.95,7.65,2.37,3.06,1.44,0.44,0.18,1
416,9.83,40.94,6.55,2.05,2.54,2.2,0.98,0.46,1
417,8.92,32.43,5.19,1.82,3.89,2.57,1,0.67,0
418,11.46,49.13,6.34,1.8,2.78,2.56,1.16,0.52,1
419,15,60,7.77,5,6,4.93,2.12,1.66,1
420,8.5,30,8,2,1.7,1.25,1,1,0
421,2.45,9.79,3.67,1.84,3.98,1.44,0.24,0.12,0
422,3.98,14.69,3.37,3.37,3.67,1.92,0.48,0.37,1
423,2.45,20.38,4.38,1.22,1.89,1.42,0.62,0.65,1
424,6.03,26.39,6.03,2.11,4.52,3.14,1.13,0.75,0
425,5,30,5.5,1.9,2.32,1.9,0.76,0.83,1
426,1.91,12.71,2.86,1.91,2.51,1.81,0.53,0.3,0
427,0.68,11.26,3.38,0.45,0.56,1.58,0.23,0.23,0
428,5.26,14.58,6.32,1.15,0.84,1.4,0.59,0.48,1
429,3.96,30.38,9.5,1.98,3.17,2.38,1.5,0.85,0
430,16.44,66.54,4.31,1.17,1.64,2,1.04,0.89,0
432,5.41,21.64,4.06,0.84,1.35,1.21,0.62,0.46,1
433,12.5,45,10,2.5,3.5,3.67,1.5,2.67,0
434,3.73,18.63,5.59,0.93,1.86,1.18,0.78,0.35,0
435,1.04,7.35,4.32,1.22,3.98,2.14,0.38,0.17,0
436,1.34,15.59,3.56,2.23,4.46,1.37,0.24,0.18,1
437,1.47,8.26,4.28,1.87,3.06,1.53,0.29,0.15,0
438,15,57.5,8,4.5,7,5,1.86,1.63,1
439,20,75,8,4,6,4.63,2.31,1.35,1
440,12,85,15,4.5,6.5,2.77,2.04,2.25,0
441,4.67,24,5.19,7.52,2.33,3.11,0.93,0.64,0
442,7.37,29.48,5.27,2.46,1.97,2.46,0.92,0.36,1
443,18.61,61.42,8.93,5.21,5.96,3.67,2,1.5,1
444,1.34,17.82,2.67,1.34,1.11,1.41,0.23,0.18,0
445,2.69,15.37,4.36,1.92,2.82,2,0.53,0.36,1
446,1.8,9.57,3.38,0.9,1.58,0.83,0.36,0.23,0
447,17.48,87.39,15.15,7.72,8.16,3.57,2.35,1.9,1
448,3,24.07,5,1.13,2.75,2.1,1.07,0.45,0
449,12.38,76.21,8.57,6.67,6.67,3.87,2.28,2.05,1
450,1.11,6.12,2.08,1.84,3.49,1.09,0.37,0.12,0
451,9.63,46,6.88,2.48,2.75,1.83,2.23,1.61,1
452,3.98,11.06,4.97,1.19,1.49,1.2,0.41,0.28,1
453,3.37,28.91,4.82,0.77,1.35,2.3,0.67,0.35,1
454,4.31,30,7.9,0.97,2.5,1.67,0.86,0.86,0
455,11.4,20,2.67,1,2,1.06,1.56,1.57,0
456,19.22,83.1,10.39,5.9,5.19,3.54,2.74,2.48,1
457,1.36,10.85,3.25,1.08,1.63,1.46,0.35,0.18,1
458,8,50,7,2.5,4,3.31,1.66,1.34,1
459,7.32,35.13,4.68,1.76,2.05,1.68,0.9,0.71,1
460,14.89,55.84,8.26,4.47,5.21,3.4,1.79,1.56,1
