,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,class
144,2.23,2.81,1.39,1.68,12,2.58,2.77,7.24,2,35,2.3,0
145,1.73,1.32,1.14,0.4,5.19,1.11,1.69,5.79,2.08,32.72,5.19,1
146,0.98,1.08,0.53,0.84,5.59,1.06,1.55,2.8,1.12,68.05,0.56,0
147,0.31,0.31,0.27,0.22,4.33,0.59,0.62,2.16,0.31,19.31,0.15,0
148,1,0.92,0.78,0.62,6.22,1.24,1.76,8.31,3.95,133.47,5.45,1
149,0.34,0.27,0.2,0.22,8.15,1.28,1.93,2.04,0.1,6.11,0.41,0
150,2.79,2.6,2.39,1.32,15.85,2.22,2.48,9.41,3.8,84.54,6.34,1
151,0.86,0.86,0.88,0.54,3.11,0.91,1.04,5.19,1.66,57.13,2.6,0
152,4.62,4.06,1.55,1.57,16.5,3.21,4.04,8.5,1.5,26.5,3.62,0
153,2.96,1.84,1.37,1.5,10.5,2.03,3.95,10.5,3.03,73.35,2.8,0
154,2.18,1.93,2.15,2.12,10.06,3.89,3.8,23.47,1.79,53.65,2.41,1
155,0.75,0.76,0.77,0.48,5.11,0.79,1.16,4,0.89,22.22,1.11,1
156,3.23,4.21,2,2,17,3.04,4.75,7.5,3.5,60,4,0
157,1.91,2.26,2.58,2.43,15.08,3.14,4.3,13.37,4.22,86.46,14.07,1
158,0.6,0.54,0.41,0.48,4.87,0.58,1.04,3.32,0.71,23.32,1.14,1
159,1.4,1.1,1.17,0.41,5.71,0.55,1.25,7.48,2.34,44.66,3.64,0
160,3.59,2.91,1.59,2.09,12,3.28,2.92,5.57,1,31,3,0
161,0.53,0.51,0.69,0.53,4.23,0.65,1.19,4.44,0.53,11.09,0.59,0
162,1.7,1.52,2.05,2.32,11.91,2.15,3.27,12.66,2.61,51.37,2.61,1
163,1.33,1.46,0.77,1.06,8.41,1.72,1.83,15.62,2.58,69.07,3.36,1
164,3.03,2.96,2.29,2.06,11,3.23,3.96,7,2,59.5,5,1
165,0.83,1.04,1.04,0.55,4.15,0.76,1.04,5.3,1.56,41.55,3.38,0
166,1,1.06,0.68,0.35,3.12,1.34,1.75,5.71,1.56,42.59,4.36,0
167,1,0.92,0.78,0.62,6.22,1.24,1.76,8.31,2.29,140.22,5.19,1
168,1.9,0.92,1.77,0.56,6.23,0.57,1.59,8.05,2.7,64.92,3.64,1
169,0.9,0.82,1.02,0.89,5.5,1.24,1.71,4.68,1.51,39.89,2.75,1
170,2.7,2.25,1.32,1.07,7.27,1.74,3.29,10.39,1.45,29.86,3.53,0
171,0.78,0.78,0.67,0.78,10.77,1.49,1.3,3.58,0.47,15.57,1.82,0
172,0.49,0.46,0.58,0.22,3.61,1.44,0.9,2.13,0.14,2.89,0.72,0
173,2.7,1.9,1.53,1.75,12,3.04,3.25,6,1.8,38,3,0
174,2.12,1.99,2.72,0.89,13.41,4.25,4.69,30.85,2.68,53.65,2.01,1
175,0.65,0.77,0.8,0.48,4.44,0.74,1.06,4,0.89,21.99,1.56,1
176,1.08,1.08,0.34,1.16,3.61,1.68,1.93,2.89,0.29,31.09,1.45,0
177,2.2,3.31,1.52,1.94,10,2.86,3.3,6.2,1.25,40,2,0
178,3.41,3.1,2,1,15,3.11,3.75,11,2,70,4.3,0
179,2.6,2.07,1.25,1.75,10,1.61,2.99,9,2,60,2.54,0
180,1.06,1.6,0.9,0.76,5.19,1.32,2.01,5.35,1.35,35.84,2.6,1
181,0.55,0.35,0.48,0.22,10.83,2.17,1.44,2.17,0.14,9.75,1.26,0
182,0.56,0.74,0.19,0.5,7.45,0.96,2.32,1.49,0.75,14.91,0.93,0
183,1.14,0.73,1.19,0.47,3.9,1.23,1.56,5.3,1.71,41.55,3.38,0
184,3.67,3.42,1.77,2.33,12,2.86,2,9.5,2.5,87,2.8,0
